Date,UnixTimeStamp,GasPrice_Wei
3/28/2025,1743120000,2030846156
3/29/2025,1743206400,1813869685
3/30/2025,1743292800,1723956237
3/31/2025,1743379200,2180258760
4/1/2025,1743465600,2608961663
4/2/2025,1743552000,2528947037
4/3/2025,1743638400,2361243561
4/4/2025,1743724800,2472649625
4/5/2025,1743811200,1670227988
4/6/2025,1743897600,5376359346
4/7/2025,1743984000,8057457268
4/8/2025,1744070400,2641344106
4/9/2025,1744156800,5343708895
4/10/2025,1744243200,4827701344
4/11/2025,1744329600,2746058860
4/12/2025,1744416000,2369349966
4/13/2025,1744502400,2429622241
4/14/2025,1744588800,3403740278
4/15/2025,1744675200,2170712593
4/16/2025,1744761600,2025383403
4/17/2025,1744848000,2083365663
4/18/2025,1744934400,1830186992
4/19/2025,1745020800,1607383839
4/20/2025,1745107200,1820058844
4/21/2025,1745193600,2070022343
4/22/2025,1745280000,4083496424
4/23/2025,1745366400,3106497862
4/24/2025,1745452800,4815758057
4/25/2025,1745539200,2831795415
4/26/2025,1745625600,1962794859
4/27/2025,1745712000,1688935609
4/28/2025,1745798400,2018652213
